item_code,modifier_code
cappuccino,almond-milk
cappuccino,banana-milk
cappuccino,coconut-milk
cappuccino,lactose-free-milk
latte,almond-milk
latte,banana-milk
latte,coconut-milk
latte,lactose-free-milk
cacao,almond-milk
cacao,banana-milk
cacao,coconut-milk
cacao,lactose-free-milk
matcha-latte,almond-milk
matcha-latte,banana-milk
matcha-latte,coconut-milk
matcha-latte,lactose-free-milk
ice-cappuccino,almond-milk
ice-cappuccino,banana-milk
ice-cappuccino,coconut-milk
ice-cappuccino,lactose-free-milk
ice-latte,almond-milk
ice-latte,banana-milk
ice-latte,coconut-milk
ice-latte,lactose-free-milk
ice-matcha-latte,almond-milk
ice-matcha-latte,banana-milk
ice-matcha-latte,coconut-milk
ice-matcha-latte,lactose-free-milk
