item_code,category_code,name_ru,name_en,description_ru,description_en,base_price_kopecks,available,archived,sort_order,inventory_quantity,media_type,media_url,media_poster_url,image_url
espresso,coffee-classic,Эспрессо,Espresso,,,17500,true,false,0,,video,/media/menu/espresso/hero.mp4,/media/menu/espresso/poster.webp,
americano,coffee-classic,Американо,Americano,"Размеры: S=200 мл, M=300 мл, L=400 мл.","Sizes: S=200 ml, M=300 ml, L=400 ml.",17000,true,false,10,,video,/media/menu/americano/hero.mp4,/media/menu/americano/poster.webp,
cappuccino,coffee-classic,Капучино,Cappuccino,"Размеры: S=200 мл, M=300 мл, L=400 мл.","Sizes: S=200 ml, M=300 ml, L=400 ml.",25000,true,false,20,,video,/media/menu/cappuccino/hero.mp4,/media/menu/cappuccino/poster.webp,
latte,coffee-classic,Латте,Latte,"Размеры: S=200 мл, M=300 мл, L=400 мл.","Sizes: S=200 ml, M=300 ml, L=400 ml.",26000,true,false,30,,video,/media/menu/latte/hero.mp4,/media/menu/latte/poster.webp,
flat-white,coffee-classic,Флэт Уайт,Flat White,"Размеры: S=200 мл, M=300 мл.","Sizes: S=200 ml, M=300 ml.",27000,true,false,40,,video,/media/menu/flat-white/hero.mp4,/media/menu/flat-white/poster.webp,
raf,coffee-classic,Раф,Raf,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",36000,true,false,50,,video,/media/menu/raf/hero.mp4,/media/menu/raf/poster.webp,
hot-bumble-orange,coffee-classic,Горячий бамбл Апельсин 300 мл,Hot Orange Bumble 300 ml,,,32000,true,false,60,,video,/media/menu/hot-bumble-orange/hero.mp4,/media/menu/hot-bumble-orange/poster.webp,
hot-bumble-cherry,coffee-classic,Горячий бамбл Вишня 300 мл,Hot Cherry Bumble 300 ml,,,32000,true,false,70,,video,/media/menu/hot-bumble-cherry/hero.mp4,/media/menu/hot-bumble-cherry/poster.webp,
cacao,cacao,Какао,Cacao,"Размеры: S=200 мл, M=300 мл.","Sizes: S=200 ml, M=300 ml.",16000,true,false,80,,video,/media/menu/cacao/hero.mp4,/media/menu/cacao/poster.webp,
matcha-latte,matcha,Матча латте,Matcha Latte,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",26000,true,false,90,,video,/media/menu/matcha-latte/hero.mp4,/media/menu/matcha-latte/poster.webp,
tea-raspberry,tea-drinks,Чай с малиной,Raspberry Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,100,,video,/media/menu/tea-raspberry/hero.mp4,/media/menu/tea-raspberry/poster.webp,
tea-cherry,tea-drinks,Чай с вишней,Cherry Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,110,,video,/media/menu/tea-cherry/hero.mp4,/media/menu/tea-cherry/poster.webp,
tea-oblepikha-ginger,tea-drinks,Чай с облепихой и имбирем,Sea Buckthorn Ginger Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,120,,video,/media/menu/tea-oblepikha-ginger/hero.mp4,/media/menu/tea-oblepikha-ginger/poster.webp,
tea-cranberry-juniper,tea-drinks,Чай с клюквой и можжевельником,Cranberry Juniper Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,130,,video,/media/menu/tea-cranberry-juniper/hero.mp4,/media/menu/tea-cranberry-juniper/poster.webp,
tea-grapefruit-elderflower,tea-drinks,Чай с грейпфрутом и бузиной,Grapefruit Elderflower Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,140,,video,/media/menu/tea-grapefruit-elderflower/hero.mp4,/media/menu/tea-grapefruit-elderflower/poster.webp,
tea-black,tea,Чай черный,Black Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",8000,true,false,150,,video,/media/menu/tea-black/hero.mp4,/media/menu/tea-black/poster.webp,
tea-black-pot,tea,Чай черный в чайнике,Black Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",15000,true,false,160,,video,/media/menu/tea-black-pot/hero.mp4,/media/menu/tea-black-pot/poster.webp,
tea-thyme,tea,Чай с чабрецом,Thyme Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,170,,video,/media/menu/tea-thyme/hero.mp4,/media/menu/tea-thyme/poster.webp,
tea-thyme-pot,tea,Чай с чабрецом в чайнике,Thyme Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,180,,video,/media/menu/tea-thyme-pot/hero.mp4,/media/menu/tea-thyme-pot/poster.webp,
tea-taiga,tea,Чай таежный,Taiga Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,190,,video,/media/menu/tea-taiga/hero.mp4,/media/menu/tea-taiga/poster.webp,
tea-taiga-pot,tea,Чай таежный в чайнике,Taiga Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,200,,video,/media/menu/tea-taiga-pot/hero.mp4,/media/menu/tea-taiga-pot/poster.webp,
