item_code,source_file,media_url,media_poster_url
espresso,espresso.mp4,/media/menu/espresso/hero.mp4,/media/menu/espresso/poster.webp
americano,americano.mp4,/media/menu/americano/hero.mp4,/media/menu/americano/poster.webp
cappuccino,cappuchino.mp4,/media/menu/cappuccino/hero.mp4,/media/menu/cappuccino/poster.webp
latte,latte.mp4,/media/menu/latte/hero.mp4,/media/menu/latte/poster.webp
flat-white,flat_white.mp4,/media/menu/flat-white/hero.mp4,/media/menu/flat-white/poster.webp
raf,raf.mp4,/media/menu/raf/hero.mp4,/media/menu/raf/poster.webp
hot-bumble-orange,bumble_orange.mp4,/media/menu/hot-bumble-orange/hero.mp4,/media/menu/hot-bumble-orange/poster.webp
hot-bumble-cherry,bumble_cherry.mp4,/media/menu/hot-bumble-cherry/hero.mp4,/media/menu/hot-bumble-cherry/poster.webp
cacao,cacao.mp4,/media/menu/cacao/hero.mp4,/media/menu/cacao/poster.webp
matcha-latte,matcha latte.mp4,/media/menu/matcha-latte/hero.mp4,/media/menu/matcha-latte/poster.webp
tea-raspberry,tea_raspberry.mp4,/media/menu/tea-raspberry/hero.mp4,/media/menu/tea-raspberry/poster.webp
tea-cherry,tea_cherry.mp4,/media/menu/tea-cherry/hero.mp4,/media/menu/tea-cherry/poster.webp
tea-oblepikha-ginger,tea_oblepiha_ginger.mp4,/media/menu/tea-oblepikha-ginger/hero.mp4,/media/menu/tea-oblepikha-ginger/poster.webp
tea-cranberry-juniper,tea_klukva_mozh.mp4,/media/menu/tea-cranberry-juniper/hero.mp4,/media/menu/tea-cranberry-juniper/poster.webp
tea-grapefruit-elderflower,tea_grapefruit_buzina.mp4,/media/menu/tea-grapefruit-elderflower/hero.mp4,/media/menu/tea-grapefruit-elderflower/poster.webp
tea-black,tea_black.mp4,/media/menu/tea-black/hero.mp4,/media/menu/tea-black/poster.webp
tea-black-pot,tea_black.mp4,/media/menu/tea-black-pot/hero.mp4,/media/menu/tea-black-pot/poster.webp
tea-thyme,tea_chabretz.mp4,/media/menu/tea-thyme/hero.mp4,/media/menu/tea-thyme/poster.webp
tea-thyme-pot,tea_chabretz.mp4,/media/menu/tea-thyme-pot/hero.mp4,/media/menu/tea-thyme-pot/poster.webp
tea-taiga,tea_taezhniy.mp4,/media/menu/tea-taiga/hero.mp4,/media/menu/tea-taiga/poster.webp
tea-taiga-pot,tea_taezhniy.mp4,/media/menu/tea-taiga-pot/hero.mp4,/media/menu/tea-taiga-pot/poster.webp
tea-milk-oolong,tea_milk_oolong.mp4,/media/menu/tea-milk-oolong/hero.mp4,/media/menu/tea-milk-oolong/poster.webp
tea-milk-oolong-pot,tea_milk_oolong.mp4,/media/menu/tea-milk-oolong-pot/hero.mp4,/media/menu/tea-milk-oolong-pot/poster.webp
tea-buckwheat,tea_grecishniy.mp4,/media/menu/tea-buckwheat/hero.mp4,/media/menu/tea-buckwheat/poster.webp
tea-buckwheat-pot,tea_grecishniy.mp4,/media/menu/tea-buckwheat-pot/hero.mp4,/media/menu/tea-buckwheat-pot/poster.webp
tea-mint-raspberry,tea_mint_raspberry.mp4,/media/menu/tea-mint-raspberry/hero.mp4,/media/menu/tea-mint-raspberry/poster.webp
tea-mint-raspberry-pot,tea_mint_raspberry.mp4,/media/menu/tea-mint-raspberry-pot/hero.mp4,/media/menu/tea-mint-raspberry-pot/poster.webp
tea-ivan-sagan-juniper,tea_ivan_chai_with_sagan_daila.mp4,/media/menu/tea-ivan-sagan-juniper/hero.mp4,/media/menu/tea-ivan-sagan-juniper/poster.webp
tea-ivan-sagan-juniper-pot,tea_ivan_chai_with_sagan_daila.mp4,/media/menu/tea-ivan-sagan-juniper-pot/hero.mp4,/media/menu/tea-ivan-sagan-juniper-pot/poster.webp
tea-krasnopolyansky,tea_krasnopolyanskiy.mp4,/media/menu/tea-krasnopolyansky/hero.mp4,/media/menu/tea-krasnopolyansky/poster.webp
tea-krasnopolyansky-pot,tea_krasnopolyanskiy.mp4,/media/menu/tea-krasnopolyansky-pot/hero.mp4,/media/menu/tea-krasnopolyansky-pot/poster.webp
ice-cappuccino,ice_cappuchino.mp4,/media/menu/ice-cappuccino/hero.mp4,/media/menu/ice-cappuccino/poster.webp
ice-latte,ice_latte.mp4,/media/menu/ice-latte/hero.mp4,/media/menu/ice-latte/poster.webp
ice-americano,ice_americano.mp4,/media/menu/ice-americano/hero.mp4,/media/menu/ice-americano/poster.webp
ice-raf,ice_raf.mp4,/media/menu/ice-raf/hero.mp4,/media/menu/ice-raf/poster.webp
ice-flat-white,ice_flat_white.mp4,/media/menu/ice-flat-white/hero.mp4,/media/menu/ice-flat-white/poster.webp
bumble-fresh,bumble_orange.mp4,/media/menu/bumble-fresh/hero.mp4,/media/menu/bumble-fresh/poster.webp
espresso-tonic,espresso_tonic.mp4,/media/menu/espresso-tonic/hero.mp4,/media/menu/espresso-tonic/poster.webp
ice-matcha-latte,ice_matcha_latte.mp4,/media/menu/ice-matcha-latte/hero.mp4,/media/menu/ice-matcha-latte/poster.webp
ice-matcha-tonic,ice_matcha_tonic.mp4,/media/menu/ice-matcha-tonic/hero.mp4,/media/menu/ice-matcha-tonic/poster.webp
