item_code,size_label,price_kopecks,available
americano,S,17000,true
americano,M,19000,true
americano,L,21000,true
cappuccino,S,25000,true
cappuccino,M,27000,true
cappuccino,L,29900,true
latte,S,26000,true
latte,M,28000,true
latte,L,31000,true
flat-white,S,27000,true
flat-white,M,29900,true
raf,M,36000,true
raf,L,38500,true
cacao,S,16000,true
cacao,M,19500,true
matcha-latte,M,26000,true
matcha-latte,L,29500,true
tea-raspberry,M,18000,true
tea-raspberry,L,20500,true
tea-cherry,M,18000,true
tea-cherry,L,20500,true
tea-oblepikha-ginger,M,18000,true
tea-oblepikha-ginger,L,20500,true
tea-cranberry-juniper,M,18000,true
tea-cranberry-juniper,L,20500,true
tea-grapefruit-elderflower,M,18000,true
tea-grapefruit-elderflower,L,20500,true
tea-black,M,8000,true
tea-black,L,10000,true
tea-black-pot,S,15000,true
tea-black-pot,M,25000,true
tea-thyme,M,10000,true
tea-thyme,L,12000,true
tea-thyme-pot,S,20000,true
tea-thyme-pot,M,29500,true
tea-taiga,M,10000,true
tea-taiga,L,12000,true
tea-taiga-pot,S,20000,true
tea-taiga-pot,M,29500,true
tea-milk-oolong,M,10000,true
tea-milk-oolong,L,12000,true
tea-milk-oolong-pot,S,20000,true
tea-milk-oolong-pot,M,29500,true
tea-buckwheat,M,10000,true
tea-buckwheat,L,12000,true
tea-buckwheat-pot,S,20000,true
tea-buckwheat-pot,M,29500,true
tea-mint-raspberry,M,10000,true
tea-mint-raspberry,L,12000,true
tea-mint-raspberry-pot,S,20000,true
tea-mint-raspberry-pot,M,29500,true
tea-ivan-sagan-juniper,M,10000,true
tea-ivan-sagan-juniper,L,12000,true
tea-ivan-sagan-juniper-pot,S,20000,true
tea-ivan-sagan-juniper-pot,M,29500,true
tea-krasnopolyansky,M,10000,true
tea-krasnopolyansky,L,12000,true
tea-krasnopolyansky-pot,S,20000,true
tea-krasnopolyansky-pot,M,29500,true
ice-cappuccino,M,27000,true
ice-cappuccino,L,29900,true
ice-latte,M,28000,true
ice-latte,L,31000,true
ice-americano,S,17000,true
ice-americano,M,19000,true
ice-americano,L,21000,true
ice-raf,M,36000,true
ice-raf,L,38500,true
ice-flat-white,S,27000,true
ice-flat-white,M,29900,true
bumble-fresh,M,35000,true
bumble-fresh,L,42000,true
espresso-tonic,M,23000,true
espresso-tonic,L,26500,true
ice-matcha-latte,M,26000,true
ice-matcha-latte,L,29500,true
ice-matcha-tonic,M,26000,true
ice-matcha-tonic,L,29500,true
mors-cranberry-juniper,M,17000,true
mors-cranberry-juniper,L,19000,true
mors-cranberry-oblepikha-ginger,M,17000,true
mors-cranberry-oblepikha-ginger,L,19000,true
mors-cranberry-wild-berries,M,17000,true
mors-cranberry-wild-berries,L,19000,true
mors-cranberry-cherry,M,17000,true
mors-cranberry-cherry,L,19000,true
lemonade-strawberry-mojito,M,18000,true
lemonade-strawberry-mojito,L,19900,true
lemonade-mango-passionfruit,M,18000,true
lemonade-mango-passionfruit,L,19900,true
lemonade-grapefruit-elderflower,M,18000,true
lemonade-grapefruit-elderflower,L,19900,true
orange-fresh,S,28000,true
orange-fresh,M,39000,true
apple-fresh,S,29000,true
apple-fresh,M,39000,true
vanilla-milkshake,M,18000,true
vanilla-milkshake,L,21000,true
chocolate-milkshake,M,18000,true
chocolate-milkshake,L,21000,true
mango-passionfruit-milkshake,M,18000,true
mango-passionfruit-milkshake,L,21000,true
strawberry-milkshake,M,18000,true
strawberry-milkshake,L,21000,true
